t,x,y,theta,state,front_min,dist_goal,clearance,v,omega
0.0,0.5,0.5,0.0,RUN,1.0,12.020815280171307,4.0149629168123395,0.58,2.0
0.05,0.5289516908275802,0.5014487920693725,0.10000000000000009,RUN,1.6,11.99933465197767,4.0018329475155,0.58,1.5207886273289875
0.1,0.5576689924852677,0.5054377069721292,0.1760394313664495,RUN,2.2,11.976249053463093,3.9866202902828887,0.58,1.381953941283679
0.15000000000000002,0.5860226863655561,0.5114985224532115,0.2451371284306334,RUN,2.2,11.951973542836727,3.9697867623859144,0.58,1.2261301363426722
0.2,0.6139224145538416,0.5193942043532274,0.3064436352477671,RUN,2.2,11.926733497914679,3.9515686512753456,0.58,1.0911749199865288
0.25,0.6413190681992883,0.528892350261831,0.3610023812470935,RUN,2.2,11.90072316008995,3.932183153179974,0.58,0.9707237655444053
0.3,0.6681906381514159,0.5397897647096871,0.4095385695243139,RUN,2.2,11.874098048588731,3.905463594891084,0.58,0.8636251312732656
0.35,0.6945349300647341,0.5519078343933643,0.45271982608797723,RUN,2.2,11.846983213734163,3.8764660547049434,0.58,0.7683492128815944
0.39999999999999997,0.7203634448540763,0.5650905652479246,0.4911372867320569,RUN,2.2,11.819478781138288,3.8474968434088783,0.58,0.6835935815602612
0.44999999999999996,0.7456968614101451,0.5792021255407641,0.5253169658100703,RUN,2.2,11.791664731759953,3.8185943530109654,0.58,0.6081941480339654
0.49999999999999994,0.7705616713856439,0.5941244717804219,0.5557266732117685,RUN,2.2,11.763604830169527,3.7897848883353857,0.58,0.5411167512191429
0.5499999999999999,0.7949877129879563,0.6097551208586958,0.5827825107727258,RUN,2.2,11.735349835517283,3.761085620565188,0.58,0.48144180440077244
0.6,0.8190063884621883,0.6260051245009176,0.6068546009927642,RUN,2.2,11.706940106061335,3.7325068914207247,0.58,0.4283515910921562
0.65,0.8426493986179157,0.6427972632316357,0.6282721805473721,RUN,2.2,11.678407700423774,3.7040540000832882,0.58,0.3811189049387492
0.7000000000000001,0.8659478651807386,0.6600644577586818,0.6473281257943095,RUN,2.2,11.649778065727165,3.675728581020029,0.58,0.33909698516747794
0.7500000000000001,0.8889317417908487,0.677748384628152,0.6642829750526835,RUN,2.2,11.621071389458347,3.6475296601104397,0.58,0.30171058325671335
0.8000000000000002,0.9116294380060219,0.6957982776349529,0.6793685042155193,RUN,2.2,11.592303679332309,3.619454459037385,0.58,0.26844803118718863
0.8500000000000002,0.9340675989414962,0.7141698945380932,0.6927909057748787,RUN,2.2,11.563487624199901,3.5914990035444507,0.58,0.2388541961524988
0.9000000000000002,0.9562709972580428,0.7328246287194309,0.7047336155825037,RUN,2.2,11.53463327934877,3.563658579501219,0.58,0.21252422076406105
0.9500000000000003,0.9782625049933509,0.7517287466306879,0.7153598266207069,RUN,2.2,11.505748611366151,3.5359280713478842,0.58,0.18909795981347224
1.0000000000000002,1.0000631209544524,0.770852733626838,0.7248147246113805,RUN,2.2,11.476839930937865,3.508302210017721,0.58,0.168255035116024
1.0500000000000003,1.0216920356356456,0.7901707327369967,0.7332274763671816,RUN,2.2,11.447912236379517,3.480775751510447,0.58,0.14971043907718892
1.1000000000000003,1.0431667203568955,0.8096600628729478,0.7407129983210412,RUN,2.2,11.4189694861548,3.4533436026117164,0.58,0.13321062560372157
1.1500000000000004,1.0645030308894643,0.8293008048084785,0.7473735296012274,RUN,2.2,11.390014814962527,3.426000906573969,0.58,0.11853003398652111
1.2000000000000004,1.0857153185242274,0.8490754449249613,0.7533000313005536,RUN,2.2,11.361050705017,3.3987430986869693,0.58,0.10546799754806727
1.2500000000000004,1.1068165435554955,0.8689685681903492,0.7585734311779571,RUN,2.2,11.33207912177486,3.371565939406991,0.58,0.09384599428537661
1.3000000000000005,1.127818387660961,0.8889665931202941,0.7632657308922259,RUN,2.2,11.303101621465123,3.3444655309490763,0.58,0.08350520154375934
1.3500000000000005,1.1487313627801607,0.9090575425731187,0.7674409909694138,RUN,2.2,11.274119436265734,3.317438321871288,0.58,0.07430432100685987
1.4000000000000006,1.1695649149235017,0.9292308451719196,0.7711562070197568,RUN,2.2,11.245133541764694,3.290481103109764,0.58,0.06611764405267871
1.4500000000000006,1.190327521953039,0.9494771629459384,0.774462089222391,RUN,2.2,11.216144710384809,3.2635909980924485,0.58,0.05883333086206201
1.5000000000000007,1.2110267848190084,0.9697882414585735,0.7774037557654943,RUN,2.2,11.187153553689335,3.236765448915482,0.58,0.052351879625741546
1.5500000000000007,1.2316695120540055,0.9901567792584434,0.7800213497467814,RUN,2.2,11.158160555880647,3.2100022000685655,0.58,0.046584764823101074
1.6000000000000008,1.25226179755085,1.0105763139688584,0.7823505879879367,RUN,2.2,11.129166100324202,3.1832992808119167,0.58,0.0414532258784248
1.6500000000000008,1.2728090918044028,1.0310411227337912,0.7844232492818577,RUN,2.2,11.10017049054926,3.1566549870126295,0.58,0.03688718957230485
1.7000000000000008,1.2933162668999127,1.0515461350771744,0.7862676087604727,RUN,2.2,11.071173966876145,3.1300678630225596,0.58,0.03282431142688269
1.7500000000000009,1.3137876755944724,1.0720868565173944,0.7879088243318169,RUN,2.2,11.042176719580596,3.103536684007876,0.58,0.029209122919857663
1.800000000000001,1.3342272048741055,1.0926593015189994,0.7893692804778096,RUN,2.2,11.01317889931632,3.0770604390101832,0.58,0.025992272836380746
1.850000000000001,1.3546383243848457,1.1132599345662602,0.7906688941196287,RUN,2.2,10.984180625366772,3.0506383149209766,0.58,0.023129852361025147
1.900000000000001,1.37502413013749,1.133885618314462,0.7918253867376799,RUN,2.2,10.955181992178204,3.0242696814781587,0.58,0.020582794661621544
1.950000000000001,1.3953873838771038,1.1545335679198985,0.7928545264707609,RUN,2.2,10.926183074532075,2.9979540773393225,0.58,0.01831634073890583
2.000000000000001,1.4157305484931193,1.1752013107726,0.7937703435077061,RUN,2.2,10.897183931640106,2.971691197247223,0.58,0.0162995642251023
2.0500000000000007,1.436055819825981,1.1958866509606807,0.7945853217189613,RUN,2.2,10.868184610386507,2.9454808802750563,0.58,0.014504948622880324
2.1000000000000005,1.4563651552044874,1.216587637884512,0.7953105691501055,RUN,2.2,10.839185147894892,2.9193230991194126,0.58,0.012908011195272219
2.1500000000000004,1.4766602990242532,1.23730253851528,0.795955969709869,RUN,2.2,10.810185573560666,2.8932179503961297,0.58,0.01148696835658962
2.2,1.4969428056542569,1.2580298128581617,0.7965303181276986,RUN,2.2,10.781185910660128,2.8671656458858905,0.58,0.010222437983129615
2.25,1.5172140599350286,1.2787680922365254,0.7970414400268551,RUN,2.2,10.752186177624475,2.8411665046720103,0.58,0.009097174568512174
2.3,1.5374752955095659,1.299516160062062,0.7974962987552807,RUN,2.2,10.723186389048516,2.8152209461109274,0.58,0.008095833598420778
2.3499999999999996,1.5577276112065874,1.3202729347976643,0.797901090435202,RUN,2.2,10.694186556489376,2.7893294835759637,0.58,0.0072047619198791725
2.3999999999999995,1.5779719856755534,1.3410374548562913,0.7982613285311961,RUN,2.2,10.66518668909884,2.763492718916284,0.58,0.0064118112361300555
2.4499999999999993,1.5982092904542853,1.361808865210179,0.7985819190930026,RUN,2.2,10.636186794124061,2.7377113375751616,0.58,0.0057061721751881294
2.499999999999999,1.6184403016323188,1.3825864055123844,0.7988672277017619,RUN,2.2,10.607186877304025,2.7119861043147537,0.58,0.0050782266615881505
2.549999999999999,1.6386657102573423,1.4033693995563539,0.7991211390348414,RUN,2.2,10.578186943183498,2.686317859497655,0.58,0.004519416571666652
2.5999999999999988,1.6588861316174501,1.4241572459200569,0.7993471098634246,RUN,2.2,10.549186995361499,2.660707515878835,0.58,0.004022126875662771
2.6499999999999986,1.6791021135181978,1.4449494096591877,0.7995482162072078,RUN,2.2,10.520187036688215,2.635156055865476,0.58,0.003579581668131969
2.6999999999999984,1.6993141436617663,1.4657454149301543,0.7997271952906146,RUN,2.2,10.491187069420844,2.60966452920509,0.58,0.003185751664752059
2.7499999999999982,1.7195226562241714,1.486544838437439,0.7998864828738523,RUN,2.2,10.46218709534695,2.5842340510659687,0.58,0.0028352719003826455
2.799999999999998,1.7397280377166453,1.5073473036119367,0.8000282464688713,RUN,2.2,10.433187115882141,2.5588658004771387,0.58,0.0025233685030639267
2.849999999999998,1.759930632208068,1.5281524754377358,0.8001544148940245,RUN,2.2,10.404187132147628,2.533561019098154,0.58,0.002245793542660684
2.8999999999999977,1.7801307459778002,1.5489600558546783,0.8002667045711576,RUN,2.2,10.37518714503137,2.5083210102912394,0.58,0.001998767063447064
2.9499999999999975,1.8003286516600383,1.5697697796719297,0.8003666429243301,RUN,2.2,10.346187155236652,2.4831471384719226,0.58,0.0017789255080887859
2.9999999999999973,1.8205245919355377,1.5905814109351297,0.8004555891997347,RUN,2.2,10.31718716332036,2.458040828715461,0.58,0.0015832758283624436
3.049999999999997,1.8407187828187261,1.6113947396966637,0.8005347529911528,RUN,2.2,10.288187169723669,2.4330035666003598,0.58,0.0014091546547916585
3.099999999999997,1.860911416585509,1.6322095791438755,0.8006052107238926,RUN,2.2,10.259187174795983,2.408036898269925,0.58,0.0012541919679604965
3.149999999999997,1.881102664380137,1.6530257630453775,0.8006679203222906,RUN,2.2,10.23018717881401,2.383142430696748,0.58,0.0011162787744779475
3.1999999999999966,1.9012926785360378,1.6738431434800987,0.8007237342610143,RUN,2.2,10.201187181996987,2.358321832135907,0.58,0.0009935383460846414
3.2499999999999964,1.9214815946428416,1.6946615888173824,0.8007734111783185,RUN,2.2,10.172187184518393,2.333576832753235,0.58,0.0008843006293626812
3.2999999999999963,1.9416695333854932,1.7154809819205639,0.8008176262097866,RUN,2.2,10.143187186515862,2.3089092254190318,0.58,0.0007870794755318705
3.349999999999996,1.9618566021830475,1.7363012185488742,0.8008569801835632,RUN,2.2,10.114187188098159,2.284320866654431,0.58,0.0007005523807093396
3.399999999999996,1.9820428966455665,1.757122205936298,0.8008920078025987,RUN,2.2,10.08518718935172,2.259813677724761,0.58,0.0006235424579537107
3.4499999999999957,2.002228501873219,1.7779438615265235,0.8009231849254963,RUN,2.2,10.056187190344955,2.235389645867791,0.58,0.0005550023975546139
3.4999999999999956,2.0224134936109976,1.7987661118489768,0.8009509350453738,RUN,2.2,10.027187191131748,2.2110508256530315,0.58,0.0004940001933051224
3.5499999999999954,2.042597939277016,1.819588891517128,0.800975635055039,RUN,2.2,9.998187191755147,2.186799340464061,0.58,0.0004397064430644457
3.599999999999995,2.06278189887837,1.8404121423386641,0.800997620377192,RUN,2.2,9.969187192248986,2.1626373840971187,0.58,0.0003913830478969899
